protein	comparison	logFC	pvalue	qvalue
A6NIZ1, P61224	ecoli_7-ecoli_3	1.2941459419431605e-22	0.9999999999992049	1
A6NJ64	ecoli_2-ecoli_1	0.010112473519194875	0.9259513868812455	1
A6NJ64	ecoli_3-ecoli_1	-0.11529109131224527	0.3075606631050382	0.7889599618781414
A6NJ64	ecoli_7-ecoli_1	0.03880264334485527	0.7225087352780301	1
A6NJ64	ecoli_3-ecoli_2	-0.12540356483144016	0.2701628918999522	0.6776762350009998
A6NJ64	ecoli_7-ecoli_2	0.028690169825660392	0.7924709502217864	1
A6NJ64	ecoli_7-ecoli_3	0.15409373465710055	0.1843146558313022	0.6799790848210743
A6NJZ7, A6NNM3	ecoli_2-ecoli_1	-0.27442081649970473	0.5746089884931656	1
A6NJZ7, A6NNM3	ecoli_3-ecoli_1	1.0215137875689637	0.06681122427304334	0.27309164051078066
A6NJZ7, A6NNM3	ecoli_7-ecoli_1	0.47912102062317885	0.33917802446153483	1
A6NJZ7, A6NNM3	ecoli_3-ecoli_2	1.2959346040686683	0.02909355120406894	0.1430725679409757
A6NJZ7, A6NNM3	ecoli_7-ecoli_2	0.7535418371228836	0.15211948188709168	0.824209016464325
A6NJZ7, A6NNM3	ecoli_7-ecoli_3	-0.5423927669457849	0.28400043799608304	0.8836881265435986
A6NK53	ecoli_2-ecoli_1	-0.6799243106301088	0.2708672885772305	1
A6NK53	ecoli_3-ecoli_1	1.033656454200147	0.08029691007541154	0.3122691116778952
A6NK53	ecoli_7-ecoli_1	-0.1790265926569301	0.7234775758129466	1
A6NK53	ecoli_3-ecoli_2	1.713580764830256	0.024740568545354044	0.12828442949442836
A6NK53	ecoli_7-ecoli_2	0.5008977179731787	0.4046882075599377	1
A6NK53	ecoli_7-ecoli_3	-1.212683046857077	0.04965466176280984	0.30416020643249136
A6NKH3, P61513	ecoli_2-ecoli_1	-0.041569964432687456	0.7088982263254174	1
A6NKH3, P61513	ecoli_3-ecoli_1	-0.16094224149127018	0.17493118151442033	0.5372543958292196
A6NKH3, P61513	ecoli_7-ecoli_1	-0.034503179733915174	0.7562883622100935	1
A6NKH3, P61513	ecoli_3-ecoli_2	-0.11937227705858272	0.30034586407852626	0.7356749431775821
A6NKH3, P61513	ecoli_7-ecoli_2	0.007066784698772286	0.9491448008796599	1
A6NKH3, P61513	ecoli_7-ecoli_3	0.126439061757355	0.2747945514079507	0.8649263624623126
A6NKT7, O14715, P49792	ecoli_2-ecoli_1	1.0069276764612085e-17	0.9999999951632532	1
A6NKT7, O14715, P49792	ecoli_3-ecoli_1	6.393257643385051e-18	0.9999999969290179	1
A6NKT7, O14715, P49792	ecoli_7-ecoli_1	1.3012469515748099e-17	0.9999999937494994	1
A6NKT7, O14715, P49792	ecoli_3-ecoli_2	-3.676019121227034e-18	0.9999999982342352	1
A6NKT7, O14715, P49792	ecoli_7-ecoli_2	2.9431927511360136e-18	0.9999999985862462	1
A6NKT7, O14715, P49792	ecoli_7-ecoli_3	6.619211872363048e-18	0.9999999968204815	1
A6NM43	ecoli_2-ecoli_1	0	1	1
A6NM43	ecoli_3-ecoli_1	0	1	1
A6NM43	ecoli_7-ecoli_1	0	1	1
A6NM43	ecoli_3-ecoli_2	0	1	1
A6NM43	ecoli_7-ecoli_2	0	1	1
A6NM43	ecoli_7-ecoli_3	0	1	1
A6NMY6, P07355	ecoli_2-ecoli_1	-3.796533867211072e-15	0.9999998531987889	1
A6NMY6, P07355	ecoli_3-ecoli_1	5.691570170671955e-16	0.9999999779923103	1
A6NMY6, P07355	ecoli_7-ecoli_1	-4.738747361131317e-15	0.999999816766062	1
A6NMY6, P07355	ecoli_3-ecoli_2	4.365690884278267e-15	0.9999998311910991	1
A6NMY6, P07355	ecoli_7-ecoli_2	-9.422134939202448e-16	0.9999999635672729	1
A6NMY6, P07355	ecoli_7-ecoli_3	-5.307904378198512e-15	0.9999997947583722	1
A6NNA2	ecoli_2-ecoli_1	3.217200412195143e-17	0.9999999924791514	1
A6NNA2	ecoli_3-ecoli_1	2.4943138281217102e-17	0.9999999941690432	1
A6NNA2	ecoli_7-ecoli_1	-7.867918691691643e-18	0.9999999981607168	1
A6NNA2	ecoli_3-ecoli_2	-7.228865840734326e-18	0.9999999983101082	1
A6NNA2	ecoli_7-ecoli_2	-4.003992281364307e-17	0.9999999906398682	1
A6NNA2	ecoli_7-ecoli_3	-3.281105697290875e-17	0.99999999232976	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_2-ecoli_1	0	1	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_3-ecoli_1	0	1	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_7-ecoli_1	0	1	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_3-ecoli_2	0	1	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_7-ecoli_2	0	1	1
A6NNZ2, P04350, P07437, P68371, Q3ZCM7	ecoli_7-ecoli_3	0	1	1
A6PVS8, P02925	ecoli_2-ecoli_1	4.325034762015412e-15	0.999999969368639	1
A6PVS8, P02925	ecoli_3-ecoli_1	1.9836980113541086e-14	0.999999859507788	1
A6PVS8, P02925	ecoli_7-ecoli_1	7.768575660404438e-16	0.9999999944980316	1
A6PVS8, P02925	ecoli_3-ecoli_2	1.5511945351525676e-14	0.9999998901391491	1
A6PVS8, P02925	ecoli_7-ecoli_2	-3.5481771959749675e-15	0.9999999748706073	1
A6PVS8, P02925	ecoli_7-ecoli_3	-1.9060122547500644e-14	0.9999998650097564	1
A7MD48	ecoli_2-ecoli_1	-2.6631896719600046e-16	0.9999999875110122	1
A7MD48	ecoli_3-ecoli_1	2.3838305004931207e-16	0.9999999888210629	1
A7MD48	ecoli_7-ecoli_1	-2.3963841996581236e-15	0.9999998876219247	1
A7MD48	ecoli_3-ecoli_2	5.047020172453125e-16	0.999999976332075	1
A7MD48	ecoli_7-ecoli_2	-2.130065232462123e-15	0.9999999001109124	1
A7MD48	ecoli_7-ecoli_3	-2.6347672497074357e-15	0.9999998764429876	1
A8CG34, Q96HA1	ecoli_2-ecoli_1	-0.0076426076953354655	0.9274356868089152	1
A8CG34, Q96HA1	ecoli_3-ecoli_1	-0.08727122767995792	0.31535028786336783	0.8038832807159417
A8CG34, Q96HA1	ecoli_7-ecoli_1	-0.06005836117549218	0.48167728719833014	1
A8CG34, Q96HA1	ecoli_3-ecoli_2	-0.07962861998462245	0.35688409878838323	0.8331635031641255
A8CG34, Q96HA1	ecoli_7-ecoli_2	-0.052415753480156715	0.5375305586422172	1
A8CG34, Q96HA1	ecoli_7-ecoli_3	0.027212866504465735	0.746548363312533	1
A8K0R7	ecoli_2-ecoli_1	-4.668301494800899e-20	0.9999999999087483	1
A8K0R7	ecoli_3-ecoli_1	2.2586070004203942e-20	0.9999999999558509	1
A8K0R7	ecoli_7-ecoli_1	-7.114039290977466e-20	0.9999999998609413	1
A8K0R7	ecoli_3-ecoli_2	6.926908495221293e-20	0.9999999998645992	1
A8K0R7	ecoli_7-ecoli_2	-2.445737796176568e-20	0.9999999999521929	1
A8K0R7	ecoli_7-ecoli_3	-9.37264629139786e-20	0.9999999998167922	1
A8MUU1, Q01469	ecoli_2-ecoli_1	-0.0466211041488164	0.7231071782521128	1
A8MUU1, Q01469	ecoli_3-ecoli_1	-0.4701085307960018	0.009470422708240965	0.07246651096203496
A8MUU1, Q01469	ecoli_7-ecoli_1	-0.21168368016135622	0.14250141286735593	1
A8MUU1, Q01469	ecoli_3-ecoli_2	-0.42348742664718536	0.014853412211042843	0.09090612937906002
A8MUU1, Q01469	ecoli_7-ecoli_2	-0.16506257601253982	0.2363945926797743	1
A8MUU1, Q01469	ecoli_7-ecoli_3	0.25842485063464554	0.08499554596914279	0.431708146381732
A8MVJ9, Q9NWY4	ecoli_2-ecoli_1	-0.19113141310495002	0.09985776695115103	1
A8MVJ9, Q9NWY4	ecoli_3-ecoli_1	-0.36740908535560773	0.009458946213847701	0.07246651096203496
A8MVJ9, Q9NWY4	ecoli_7-ecoli_1	-0.12620387671643463	0.24715875343964108	1
A8MVJ9, Q9NWY4	ecoli_3-ecoli_2	-0.1762776722506577	0.12322707850028304	0.39264389166519775
A8MVJ9, Q9NWY4	ecoli_7-ecoli_2	0.0649275363885154	0.5344011469597009	1
A8MVJ9, Q9NWY4	ecoli_7-ecoli_3	0.2412052086391731	0.04934493423972913	0.3039214742611575
A8MWD9, P62308	ecoli_2-ecoli_1	0	1	1
A8MWD9, P62308	ecoli_3-ecoli_1	0	1	1
A8MWD9, P62308	ecoli_7-ecoli_1	0	1	1
A8MWD9, P62308	ecoli_3-ecoli_2	0	1	1
A8MWD9, P62308	ecoli_7-ecoli_2	0	1	1
A8MWD9, P62308	ecoli_7-ecoli_3	0	1	1
A8MXV4	ecoli_2-ecoli_1	-0.17943390573151766	0.04339438167957501	1
A8MXV4	ecoli_3-ecoli_1	-0.014906606861092346	0.8405022046143693	1
A8MXV4	ecoli_7-ecoli_1	-0.03973276135922134	0.5954844145717442	1
